availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Balenciaga,Crossbody Bag,"Beige, Grey",€,2022-12-10,,Balenciaga Cheetah City,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_4679-2.jpg,530.00,balenciaga_cheetah_city_20221210,https://luxurybyho.com/shop/balenciaga-cheetah-city/
in stock,Balenciaga,Crossbody Bag,White,€,2022-12-10,,Balenciaga White Part-Time,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_3185-2-scaled.jpg,530.00,balenciaga_white_part_time_3_20221210,https://luxurybyho.com/shop/balenciaga-white-part-time-3/
in stock,Prada,"Briefcase, Weekend Bag",Black,€,2022-12-10,,Prada Black Two-Wheel Suitecase,https://luxurybyho.com/wp-content/uploads/2020/12/IMG_4096.jpg,544.00,prada_black_two_wheel_suitecase_20221210,https://luxurybyho.com/shop/prada-black-two-wheel-suitecase/
in stock,Balenciaga,Crossbody Bag,Green,€,2022-12-10,,Balenciaga Green City,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_1844-2-scaled.jpg,476.00,balenciaga_green_city_2_20221210,https://luxurybyho.com/shop/balenciaga-green-city-2/
in stock,Balenciaga,Crossbody Bag,Brown,€,2022-12-10,,Balenciaga Light Brown Agneau Bag,https://luxurybyho.com/wp-content/uploads/2021/01/IMG_5213.jpg,544.00,balenciaga_light_brown_agneau_bag_20221210,https://luxurybyho.com/shop/balenciaga-light-brown-agneau-bag/
in stock,Proenza Schouler,Crossbody Bag,"Black, Blue",€,2022-12-10,,Proenza Schouler Black & Blue Bike PS1,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_2120-4-scaled.jpg,476.00,proenza_schouler_black_blue_bike_ps1_20221210,https://luxurybyho.com/shop/proenza-schouler-black-blue-bike-ps1/
in stock,Prada,Belt Bag,Black,€,2022-12-10,,Prada Black Belt Bag,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_3680-4-scaled.jpg,476.00,prada_black_belt_bag_25_20221210,https://luxurybyho.com/shop/prada-black-belt-bag-25/
in stock,Fendi,Shoulder Bag,Beige,€,2022-12-10,,Fendi Raffia Shoulder Bag,https://luxurybyho.com/wp-content/uploads/2022/12/IMG_4008-4-scaled.jpg,476.00,fendi_raffia_shoulder_bag_20221210,https://luxurybyho.com/shop/fendi-raffia-shoulder-bag/
in stock,Louis Vuitton,Weekend Bag,Brown,€,2022-12-10,,Louis Vuitton 45 Keepall,https://luxurybyho.com/wp-content/uploads/2022/12/318222645_840702763746965_6937937126431706120_n-2-scaled.jpg,476.00,louis_vuitton_45_keepall_7_20221210,https://luxurybyho.com/shop/louis-vuitton-45-keepall-7/
in stock,Louis Vuitton,Crossbody Bag,Brown,€,2022-12-10,,Louis Vuitton Noé,https://luxurybyho.com/wp-content/uploads/2022/12/318027399_1222038985401081_2016865581828125274_n-2-scaled.jpg,476.00,louis_vuitton_noe_78_20221210,https://luxurybyho.com/shop/louis-vuitton-noe-78/
in stock,Proenza Schouler,Crossbody Bag,Beige,€,2022-12-10,,Proenza Schouler Beige Suede PS1,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_2317-3-scaled.jpg,489.50,proenza_schouler_beige_suede_ps1_20221210,https://luxurybyho.com/shop/proenza-schouler-beige-suede-ps1/
in stock,Fendi,Shoulder Bag,Grey,€,2022-12-10,,Fendi Dark Grey Popcorn Knit Mamma,https://luxurybyho.com/wp-content/uploads/2022/01/IMG_8444.jpg,503.00,fendi_dark_grey_popcorn_knit_mamma_2_20221210,https://luxurybyho.com/shop/fendi-dark-grey-popcorn-knit-mamma-2/
in stock,Fendi,Shoulder Bag,Yellow,€,2022-12-10,,Fendi Yellow Sequin Mamma,https://luxurybyho.com/wp-content/uploads/2022/04/IMG_9132-3.jpg,503.00,fendi_yellow_sequin_mamma_20221210,https://luxurybyho.com/shop/fendi-yellow-sequin-mamma/
in stock,Proenza Schouler,Crossbody Bag,"Black, Blue, Brown, Purple, Red",€,2022-12-10,,Proenza Shouler Patch Work PS1,https://luxurybyho.com/wp-content/uploads/2021/11/IMG_1352.jpg,516.50,proenza_shouler_patch_work_ps1_20221210,https://luxurybyho.com/shop/proenza-shouler-patch-work-ps1/
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Zucca Mamma,https://luxurybyho.com/wp-content/uploads/2022/05/IMG_5082-4.jpg,503.00,fendi_zucca_mamma_4_20221210,https://luxurybyho.com/shop/fendi-zucca-mamma-4/
